Casaubon,Kaibel
3.80b,3.18
3.80b,3.19
3.80c,3.19
3.80d,3.19
3.80e,3.19
3.80e,3.20
3.80f,3.20
3.81a,3.20
3.81b,3.20
3.81c,3.20
3.81d,3.20
3.81d,3.21
3.81e,3.21
3.81e,3.22
3.81f,3.22
3.82a,3.22
3.82b,3.22
3.82b,3.23
3.82c,3.23
3.82d,3.23
3.82e,3.23
3.82e,3.24
3.82f,3.24
3.83a,3.24
3.83a,3.25
3.83b,3.25
3.83c,3.25
3.83d,3.25
3.83d,3.26
3.83e,3.26
3.83f,3.26
3.84a,3.26
3.84a,3.27
3.84b,3.27
3.84c,3.27
3.84c,3.28
3.84d,3.28
3.84e,3.28
3.84f,3.28
3.85a,3.28
3.85a,3.29
3.85b,3.29
3.85c,3.29
3.85c,3.30
3.85d,3.30
3.85e,3.30
3.85e,3.31
3.85f,3.31
3.86a,3.31
3.86b,3.31
3.86b,3.32
3.86c,3.32
3.86d,3.32
3.86e,3.32
3.86f,3.32
3.86f,3.33
3.87a,3.33
3.87b,3.33
3.87c,3.33
3.87c,3.34
3.87d,3.34
3.87e,3.34
3.87f,3.34
3.87f,3.35
3.88a,3.35
3.88b,3.35
3.88c,3.35
3.88d,3.35
3.88d,3.36
3.88e,3.36
3.88f,3.36
3.89a,3.36
3.89a,3.37
3.89b,3.37
3.89c,3.37
3.89c,3.38
3.89d,3.38
3.89e,3.38
3.89f,3.38
3.89f,3.39
3.90a,3.39
3.90b,3.39
3.90c,3.39
3.90c,3.40
3.90d,3.40
3.90e,3.40
3.90f,3.40
3.91a,3.40
3.91a,3.41
3.91b,3.41
3.91c,3.41
3.91d,3.41
3.91e,3.41
3.91e,3.42
3.91f,3.42
3.92a,3.42
3.92b,3.42
3.92b,3.43
3.92c,3.43
3.92c,3.44
3.92d,3.44
3.92e,3.44
3.92f,3.44
3.93a,3.44
3.93a,3.45
3.93b,3.45
3.93c,3.45
3.93d,3.45
3.93d,3.46
3.93e,3.46
3.93f,3.46
3.94a,3.46
3.94b,3.46
3.94c,3.47
3.94d,3.47
3.94e,3.47
3.94f,3.47
3.95a,3.47
3.95a,3.48
3.95b,3.48
3.95c,3.48
3.95d,3.48
3.95e,3.48
3.95e,3.49
3.95f,3.49
3.96a,3.49
3.96b,3.49
3.96c,3.49
3.96d,3.50
3.96e,3.50
3.96e,3.51
3.96f,3.51
3.97a,3.51
3.97b,3.51
3.97c,3.51
3.97c,3.52
3.97d,3.52
3.97e,3.52
3.97f,3.52
3.97f,3.53
3.98a,3.53
3.98b,3.53
3.98c,3.53
3.98c,3.54
3.98d,3.54
3.98e,3.54
3.98f,3.54
3.99a,3.54
3.99b,3.54
3.99b,3.55
3.99c,3.55
3.99d,3.55
3.99e,3.55
3.99e,3.56
3.99f,3.56
3.100a,3.56
3.100b,3.56
3.100b,3.57
3.100c,3.57
3.100d,3.57
3.100e,3.57
3.100e,3.58
3.100f,3.58
3.101a,3.58
3.101b,3.58
3.101b,3.59
3.101c,3.59
3.101d,3.59
3.101e,3.59
3.101f,3.59
3.101f,3.60
3.102a,3.60
3.102b,3.60
3.102c,3.60
3.102d,3.60
3.102e,3.60
3.102f,3.60
3.103a,3.60
3.103b,3.60
3.103b,3.61
3.103c,3.61
3.103d,3.61
3.103e,3.61
3.103e,3.62
3.103f,3.62
3.104a,3.62
3.104a,3.63
3.104b,3.63
3.104c,3.63
3.104c,3.64
3.104d,3.64
3.104e,3.64
3.104f,3.64
3.105a,3.64
3.105b,3.64
3.105b,3.65
3.105c,3.65
3.105d,3.65
3.105d,3.66
3.105e,3.66
3.105f,3.66
3.106a,3.66
3.106b,3.66
3.106b,3.67
3.106c,3.67
3.106c,3.68
3.106d,3.68
3.106e,3.68
3.106e,3.69
3.106f,3.69
3.107a,3.69
3.107b,3.69
3.107c,3.69
3.107d,3.69
3.107e,3.69
3.107e,3.70
3.107f,3.70
3.108a,3.70
3.108a,3.71
3.108b,3.71
3.108c,3.71
3.108d,3.72
3.108e,3.72
3.108f,3.72
3.108f,3.73
3.109a,3.73
3.109b,3.73
3.109b,3.74
3.109c,3.74
3.109d,3.74
3.109e,3.74
3.109f,3.74
3.110a,3.74
3.110b,3.74
3.110b,3.75
3.110c,3.75
3.110d,3.75
3.110e,3.75
3.110f,3.75
3.111a,3.75
3.111b,3.76
3.111c,3.76
3.111d,3.76
3.111e,3.76
3.111e,3.77
3.111f,3.77
3.112a,3.77
3.112b,3.77
3.112c,3.77
3.112c,3.78
3.112d,3.78
3.112e,3.78
3.112f,3.78
3.113a,3.79
3.113b,3.79
3.113c,3.79
3.113d,3.79
3.113d,3.80
3.113e,3.80
3.113f,3.80
3.114a,3.80
3.114b,3.80
3.114b,3.81
3.114c,3.81
3.114d,3.81
3.114e,3.81
3.114e,3.82
3.114f,3.82
3.115a,3.82
3.115b,3.82
3.115c,3.83
3.115d,3.83
3.115e,3.83
3.115f,3.83
3.116a,3.83
3.116a,3.84
3.116b,3.84
3.116c,3.84
3.116d,3.84
3.116e,3.84
3.116e,3.85
3.116f,3.85
3.117a,3.85
3.117b,3.85
3.117c,3.85
3.117c,3.86
3.117d,3.86
3.117e,3.86
3.117f,3.86
3.118a,3.86
3.118a,3.87
3.118b,3.87
3.118c,3.87
3.118d,3.87
3.118d,3.88
3.118e,3.88
3.118f,3.88
3.119a,3.88
3.119b,3.88
3.119b,3.89
3.119c,3.89
3.119d,3.89
3.119e,3.89
3.119f,3.89
3.119f,3.90
3.120a,3.90
3.120b,3.90
3.120b,3.91
3.120c,3.91
3.120d,3.91
3.120e,3.91
3.120e,3.92
3.120f,3.92
3.121a,3.92
3.121b,3.92
3.121b,3.93
3.121c,3.93
3.121d,3.93
3.121e,3.93
3.121e,3.94
3.121f,3.94
3.122a,3.94
3.122b,3.94
3.122c,3.94
3.122c,3.95
3.122d,3.95
3.122e,3.95
3.122f,3.95
3.123a,3.95
3.123a,3.96
3.123b,3.96
3.123c,3.96
3.123d,3.96
3.123e,3.96
3.123e,3.97
3.123f,3.97
3.124a,3.97
3.124b,3.97
3.124c,3.97
3.124c,3.98
3.124d,3.98
3.124e,3.98
3.124f,3.98
3.125a,3.98
3.125a,3.99
3.125b,3.99
3.125c,3.99
3.125d,3.99
3.125e,3.99
3.125f,3.99
3.125f,3.100
3.126a,3.100
3.126b,3.100
3.126c,3.100
3.126d,3.100
3.126e,3.100
3.126f,3.100
3.126f,3.101
3.127a,3.101
3.127b,3.101
3.127c,3.101
3.127d,3.101
3.127e,3.101
4.128a,4.1
4.128b,4.1
4.128c,4.1
4.128c,4.2
4.128d,4.2
4.128e,4.2
4.129a,4.2
4.129a,4.3
4.129b,4.3
4.129c,4.3
4.129d,4.3
4.129d,4.4
4.129e,4.4
4.129f,4.4
4.130a,4.4
4.130a,4.5
4.130b,4.5
4.130c,4.5
4.130d,4.5
4.130e,4.6
4.130f,4.6
4.131a,4.6
4.131a,4.7
4.131b,4.7
4.131c,4.7
4.131d,4.7
4.131e,4.7
4.131f,4.7
4.131f,4.8
4.132a,4.8
4.132b,4.8
4.132c,4.8
4.132c,4.9
4.132d,4.9
4.132e,4.9
4.132f,4.9
4.132f,4.10
4.133a,4.10
4.133b,4.10
4.133c,4.10
4.133c,4.11
4.133d,4.11
4.133e,4.11
4.133f,4.11
4.134a,4.12
4.134b,4.12
4.134c,4.12
4.134d,4.12
4.134d,4.13
4.134e,4.13
4.134f,4.13
4.135a,4.13
4.135b,4.13
4.135c,4.13
4.135d,4.13
4.135e,4.13
4.135f,4.13
4.136a,4.13
4.136b,4.13
4.136c,4.13
4.136d,4.13
4.136e,4.13
4.136f,4.13
4.137a,4.13
4.137b,4.13
4.137c,4.13
4.137c,4.14
4.137d,4.14
4.137e,4.14
4.137f,4.14
4.138a,4.14
4.138b,4.14
4.138b,4.15
4.138c,4.15
4.138d,4.15
4.138e,4.16
4.138f,4.16
4.139a,4.16
4.139b,4.16
4.139c,4.16
4.139c,4.17
4.139d,4.17
4.139e,4.17
4.139f,4.17
4.140a,4.17
4.140b,4.17
4.140c,4.17
4.140d,4.17
4.140e,4.17
4.140e,4.18
4.140f,4.18
4.141a,4.18
4.141a,4.19
4.141b,4.19
4.141c,4.19
4.141d,4.19
4.141e,4.19
4.141f,4.19
4.141f,4.20
4.142a,4.20
4.142b,4.20
4.142b,4.21
4.142c,4.21
4.142d,4.21
4.142e,4.21
4.142f,4.21
4.143a,4.21
4.143a,4.22
4.143b,4.22
4.143c,4.22
4.143d,4.22
4.143e,4.22
4.143f,4.22
4.143f,4.23
4.144a,4.23
4.144b,4.23
4.144b,4.24
4.144c,4.24
4.144d,4.24
4.144e,4.24
